ID	Property	原文	正誤判定	正解Propertyの詳細	場面内の主語	場面内の述語	場面内の目的語
1	対象文	ホームズは以下を推測した			〇	〇	×
1	Who	ホームズ	True		〇	〇	×
1	hasPredicate	推測した	True	hasPredicate	〇	〇	×
1	Obj	以下	False	判別不能	〇	〇	×
2	対象文	パーシィ・トリヴェリアンは医者である。			〇	〇	無
2	Who	パーシィ・トリヴェリアン	True		〇	〇	無
2	hasPredicate	医者である	True	hasProperty	〇	〇	無
3	対象文	パーシィ・トリヴェリアンは開業してまもない			〇	〇	無
3	Who	パーシィ・トリヴェリアン	True		〇	〇	無
3	hasPredicate	開業してまもない	True	hasProperty	〇	〇	無
4	対象文	パーシィ・トリヴェリアンは儲かっている			〇	〇	無
4	Who	パーシィ・トリヴェリアン	True		〇	〇	無
4	hasPredicate	儲かっている	True	hasProperty	〇	〇	無
5	対象文	パーシィ・トリヴェリアンはホームズに相談したい			〇	〇	〇
5	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
5	hasPredicate	相談したい	True	hasProperty	〇	〇	〇
5	Obj	ホームズ	True	To	〇	〇	〇
6	対象文	ワトソンは以下を推測した			〇	〇	×
6	Who	ワトソン	True		〇	〇	×
6	hasPredicate	推測した	True	hasPredicate	〇	〇	×
6	Obj	以下	False	判別不能	〇	〇	×
7	対象文	パーシィ・トリヴェリアンは33,4歳以下である			〇	〇	無
7	Who	パーシィ・トリヴェリアン	True		〇	〇	無
7	hasPredicate	33,4歳以下である	True	hasProperty	〇	〇	無
8	対象文	ワトソンは以下を思った			〇	〇	×
8	Who	ワトソン	True		〇	〇	×
8	hasPredicate	思った	True	hasPredicate	〇	〇	×
8	Obj	以下	False	判別不能	〇	〇	×
9	対象文	パーシィ・トリヴェリアンの表情はやつれている			〇	〇	無
9	Who	パーシィ・トリヴェリアンの表情	True		〇	〇	無
9	hasPredicate	やつれている	True	hasProperty	〇	〇	無
10	対象文	パーシィ・トリヴェリアンの顔色は悪い			〇	〇	無
10	Who	パーシィ・トリヴェリアンの顔色	True		〇	〇	無
10	hasPredicate	悪い	True	hasProperty	〇	〇	無
11	対象文	パーシィ・トリヴェリアンは力を搾り取られた			〇	〇	〇
11	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
11	hasPredicate	搾り取られた	True	hasPredicate	〇	〇	〇
11	Obj	力	True	What	〇	〇	〇
12	対象文	パーシィ・トリヴェリアンは若さを奪われた			〇	〇	〇
12	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
12	hasPredicate	奪われた	True	hasPredicate	〇	〇	〇
12	Obj	若さ	True	What	〇	〇	〇
13	対象文	パーシィ・トリヴェリアンは神経質である			〇	〇	無
13	Who	パーシィ・トリヴェリアン	True		〇	〇	無
13	hasPredicate	神経質である	True	hasProperty	〇	〇	無
14	対象文	パーシィ・トリヴェリアンは居場所がない様子である			〇	〇	無
14	Who	パーシィ・トリヴェリアン	True		〇	〇	無
14	hasPredicate	居場所がない様子である	True	hasProperty	〇	〇	無
15	対象文	パーシィ・トリヴェリアンの手は白い			〇	〇	無
15	Who	パーシィ・トリヴェリアンの手	True		〇	〇	無
15	hasPredicate	白い	True	hasProperty	〇	〇	無
16	対象文	パーシィ・トリヴェリアンは医者のようでは無い			〇	〇	無
16	Who	パーシィ・トリヴェリアン	True		〇	〇	無
16	hasPredicate	医者のようでは無い	True	hasProperty	〇	〇	無
17	対象文	パーシィ・トリヴェリアンは芸術家に見える			〇	×	×
17	Who	パーシィ・トリヴェリアン	True		〇	×	×
17	hasPredicate	見える	False		〇	×	×
17	Obj	芸術家	False	判別不能	〇	×	×
18	対象文	パーシィ・トリヴェリアンの服装は地味である			〇	〇	無
18	Who	パーシィ・トリヴェリアンの服装	True		〇	〇	無
18	hasPredicate	地味である	True	hasProperty	〇	〇	無
19	対象文	パーシィ・トリヴェリアンは黒いフロック・コートを着ている			〇	〇	〇
19	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
19	hasPredicate	着ている	True	hasProperty	〇	〇	〇
19	Obj	黒いフロック・コート	True	What	〇	〇	〇
20	対象文	パーシィ・トリヴェリアンは黒めのズボンを履いている			〇	〇	〇
20	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
20	hasPredicate	履いている	True	hasProperty	〇	〇	〇
20	Obj	黒めのズボン	True	What	〇	〇	〇
21	対象文	パーシィ・トリヴェリアンはわずかに色のあるネクタイを着けている			〇	×	×
21	Who	パーシィ・トリヴェリアン	True		〇	×	×
21	hasPredicate	わずかに色のあるネクタイを着けている	False		〇	×	×
21	Obj	色のあるネクタイ	False	判別不能	〇	×	×
22	対象文	パーシィ・トリヴェリアンはホームズとワトソンに名前を告げた			〇	〇	〇
22	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
22	hasPredicate	告げた	True	hasPredicate	〇	〇	〇
22	Obj	ホームズ	True	To	〇	〇	〇
22	Obj	ワトソン	True	To	〇	〇	〇
22	Obj	名前	True	What	〇	〇	〇
23	対象文	パーシィ・トリヴェリアンはブルックリン街四〇三番地に住んでいる			〇	〇	〇
23	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
23	hasPredicate	住んでいる	True	hasPredicate	〇	〇	〇
23	Obj	ブルックリン街四〇三番地	True	Where	〇	〇	〇
24	対象文	ワトソンは以下を確認した			〇	〇	×
24	Who	ワトソン	True		〇	〇	×
24	hasPredicate	確認した	True	hasPredicate	〇	〇	×
24	Obj	以下	False	判別不能	〇	〇	×
25	対象文	パーシィ・トリヴェリアンは神経障害についての論文を書いた			〇	〇	〇
25	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
25	hasPredicate	書いた	True	hasPredicate	〇	〇	〇
25	Obj	神経障害についての論文	True	What	〇	〇	〇
26	対象文	パーシィ・トリヴェリアンは神経疾患を研究している			〇	〇	〇
26	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
26	hasPredicate	研究している	True	hasPredicate	〇	〇	〇
26	Obj	神経疾患	True	To	〇	〇	〇
27	対象文	パーシィ・トリヴェリアンは以下をホームズに言った			〇	〇	△
27	Who	パーシィ・トリヴェリアン	True		〇	〇	△
27	hasPredicate	言った	True	hasPredicate	〇	〇	△
27	Obj	以下	False	判別不能	〇	〇	△
27	Obj	ホームズ	True	To	〇	〇	△
28	対象文	妙な事件がパーシィ・トリヴェリアンの自宅で立て続けに起こった			〇	〇	△
28	Who	妙な事件	True		〇	〇	△
28	hasPredicate	起こった	True	hasProperty	〇	〇	△
28	Obj	パーシィ・トリヴェリアンの自宅	True	Where	〇	〇	△
28	Obj	立て続け	False	判別不能	〇	〇	△
29	対象文	パーシィ・トリヴェリアンは事件のことを相談に来た			〇	×	×
29	Who	パーシィ・トリヴェリアン	True		〇	×	×
29	hasPredicate	来た	False		〇	×	×
29	Obj	事件のことを相談	False	判別不能	〇	×	×
30	対象文	パーシィ・トリヴェリアンは以下を言った			〇	〇	×
30	Who	パーシィ・トリヴェリアン	True		〇	〇	×
30	hasPredicate	言った	True	hasPredicate	〇	〇	×
30	Obj	以下	False	判別不能	〇	〇	×
31	対象文	パーシィ・トリヴェリアンの硬化症の研究は注目されていた			〇	〇	無
31	Who	パーシィ・トリヴェリアンの硬化症の研究	True		〇	〇	無
31	hasPredicate	注目されていた	True	hasPredicate	〇	〇	無
32	対象文	パーシィ・トリヴェリアンはブルース・ピンカトン賞を受賞した			〇	〇	〇
32	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
32	hasPredicate	受賞した	True	hasPredicate	〇	〇	〇
32	Obj	ブルース・ピンカトン賞	True	What	〇	〇	〇
33	対象文	志ある専門医はキャヴェンディッシュ・スクエア付近の十二の街に開業しなければならない			〇	〇	〇
33	Who	志ある専門医	True		〇	〇	〇
33	hasPredicate	開業しなければならない	True	hasProperty	〇	〇	〇
33	Obj	キャヴェンディッシュ・スクエア付近の十二の街	True	Where	〇	〇	〇
34	対象文	パーシィ・トリヴェリアンは某台な賃料と調度のための支出を払わなければならない			〇	〇	△
34	Who	パーシィ・トリヴェリアン	True		〇	〇	△
34	hasPredicate	払わなければならない	True	hasPredicate	〇	〇	△
34	Obj	某台な賃料	False	判別不能	〇	〇	△
34	Obj	調度のための支出	True	What	〇	〇	△
35	対象文	パーシィ・トリヴェリアンは数年分の生活費と体裁の良い馬車を雇う金を用意しなければならなかった			〇	〇	〇
35	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
35	hasPredicate	用意しなければならなかった	True	hasPredicate	〇	〇	〇
35	Obj	数年分の生活費	True	What	〇	〇	〇
35	Obj	体裁の良い馬車を雇う金	True	What	〇	〇	〇
36	対象文	パーシィ・トリヴェリアンは金を用意できなかった			〇	〇	〇
36	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
36	hasPredicate	用意できなかった	True	hasPredicate	〇	〇	〇
36	Obj	金	True	What	〇	〇	〇
37	対象文	パーシィ・トリヴェリアンは以下を期待することしかできない			〇	×	×
37	Who	パーシィ・トリヴェリアン	True		〇	×	×
37	hasPredicate	できない	False		〇	×	×
37	Obj	以下を期待すること	False	判別不能	〇	×	×
38	対象文	パーシィ・トリヴェリアンは10年後に開業する			〇	〇	〇
38	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
38	hasPredicate	開業する	True	hasPredicate	〇	〇	〇
38	Obj	10年後	True	When	〇	〇	〇
39	対象文	パーシィ・トリヴェリアンは思いがけない出来事から見通しがついた			〇	〇	〇
39	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
39	hasPredicate	見通しがついた	True	hasPredicate	〇	〇	〇
39	Obj	思いがけない出来事	True	From	〇	〇	〇
40	対象文	ブレッシントンはある朝パーシィ・トリヴェリアンの部屋を訪問した			〇	〇	〇
40	Who	ブレッシントン	True		〇	〇	〇
40	hasPredicate	訪問した	True	hasPredicate	〇	〇	〇
40	Obj	ある朝	True	When	〇	〇	〇
40	Obj	パーシィ・トリヴェリアンの部屋	True	To	〇	〇	〇
41	対象文	パーシィ・トリヴェリアンはブレッシントンを知らない			〇	〇	〇
41	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
41	hasPredicate	知らない	True	hasProperty	〇	〇	〇
41	Obj	ブレッシントン	True	What	〇	〇	〇
42	対象文	ブレッシントンはパーシィ・トリヴェリアンに開業しない理由を尋ねた			〇	〇	×
42	Who	ブレッシントン	True		〇	〇	×
42	hasPredicate	尋ねた	True	hasPredicate	〇	〇	×
42	Obj	パーシィ・トリヴェリアンに開業しない理由	False	判別不能	〇	〇	×
43	対象文	パーシィ・トリヴェリアンは肩をすくめた			〇	〇	〇
43	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
43	hasPredicate	すくめた	True	hasPredicate	〇	〇	〇
43	Obj	肩	True	What	〇	〇	〇
44	対象文	ブレッシントンはパーシィ・トリヴェリアンに以下を言った			〇	〇	△
44	Who	ブレッシントン	True		〇	〇	△
44	hasPredicate	言った	True	hasPredicate	〇	〇	△
44	Obj	パーシィ・トリヴェリアン	True	To	〇	〇	△
44	Obj	以下	False	判別不能	〇	〇	△
45	対象文	ブレッシントンはパーシィ・トリヴェリアンに投資する			〇	〇	〇
45	Who	ブレッシントン	True		〇	〇	〇
45	hasPredicate	投資する	True	hasPredicate	〇	〇	〇
45	Obj	パーシィ・トリヴェリアン	True	To	〇	〇	〇
46	対象文	パーシィ・トリヴェリアンは驚いた			〇	〇	無
46	Who	パーシィ・トリヴェリアン	True		〇	〇	無
46	hasPredicate	驚いた	True	hasProperty	〇	〇	無
47	対象文	自身のための投資である			×	×	無
47	Who		False		×	×	無
47	hasPredicate	自身のための投資である	False		×	×	無
48	対象文	ブレッシントンは数千の投資金を持っている			〇	〇	〇
48	Who	ブレッシントン	True		〇	〇	〇
48	hasPredicate	持っている	True	hasPredicate	〇	〇	〇
48	Obj	数千の投資金	True	What	〇	〇	〇
49	対象文	ブレッシントンはパーシィ・トリヴェリアンに数千の投資金をつぎ込もうと思っている			〇	×	無
49	Who	ブレッシントン	True		〇	×	無
49	hasPredicate	パーシィ・トリヴェリアンに数千の投資金をつぎ込もうと思っている	False		〇	×	無
50	対象文	ブレッシントンは家を手に入れる			〇	×	△
50	Who	ブレッシントン	True		〇	×	△
50	hasPredicate	入れる	False		〇	×	△
50	Obj	家	True	What	〇	×	△
50	Obj	手	False	判別不能	〇	×	△
51	対象文	ブレッシントンは調度を揃える			〇	〇	〇
51	Who	ブレッシントン	True		〇	〇	〇
51	hasPredicate	揃える	True	hasPredicate	〇	〇	〇
51	Obj	調度	True	What	〇	〇	〇
52	対象文	パーシィ・トリヴェリアンは診察を行う			〇	〇	〇
52	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
52	hasPredicate	行う	True	hasPredicate	〇	〇	〇
52	Obj	診察	True	What	〇	〇	〇
53	対象文	パーシィ・トリヴェリアンは稼ぎの３分の２をブレッシントンに渡す			〇	〇	〇
53	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
53	hasPredicate	渡す	True	hasPredicate	〇	〇	〇
53	Obj	稼ぎの３分の２	True	What	〇	〇	〇
53	Obj	ブレッシントン	True	To	〇	〇	〇
54	対象文	ブレッシントンはパーシィ・トリヴェリアンに奇妙な提案をした			〇	〇	△
54	Who	ブレッシントン	True		〇	〇	△
54	hasPredicate	した	True	hasPredicate	〇	〇	△
54	Obj	パーシィ・トリヴェリアン	True	To	〇	〇	△
54	Obj	奇妙な提案	False	判別不能	〇	〇	△
55	対象文	パーシィ・トリヴェリアンは提案通りの条件で開業した			〇	〇	〇
55	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
55	hasPredicate	開業した	True	hasPredicate	〇	〇	〇
55	Obj	提案通りの条件	True	How	〇	〇	〇
56	対象文	ブレッシントンとパーシィ・トリヴェリアンは同居した			〇	〇	無
56	Who	ブレッシントン	True		〇	〇	無
56	Who	パーシィ・トリヴェリアン	True		〇	〇	無
56	hasPredicate	同居した	True	hasPredicate	〇	〇	無
57	対象文	ブレッシントンは患者件同居者である			〇	×	無
57	Who	ブレッシントン	True		〇	×	無
57	hasPredicate	患者件同居者である	False		〇	×	無
58	対象文	ブレッシントンの心臓は弱い			〇	〇	無
58	Who	ブレッシントンの心臓	True		〇	〇	無
58	hasPredicate	弱い	True	hasProperty	〇	〇	無
59	対象文	ブレッシントンは医者の監督を常時必要とする			〇	×	△
59	Who	ブレッシントン	True		〇	×	△
59	hasPredicate	する	False		〇	×	△
59	Obj	医者の監督	True	What	〇	×	△
59	Obj	常時	True	When	〇	×	△
59	Obj	必要	False	判別不能	〇	×	△
60	対象文	ブレッシントンは二階にある一番良い部屋二室を居間と寝室として使った			〇	〇	△
60	Who	ブレッシントン	True		〇	〇	△
60	hasPredicate	使った	True	hasPredicate	〇	〇	△
60	Obj	二階にある一番良い部屋二室	True	What	〇	〇	△
60	Obj	居間	False	判別不能	〇	〇	△
60	Obj	寝室	False	判別不能	〇	〇	△
60	Obj	して	False	判別不能	〇	〇	△
61	対象文	ブレッシントンは妙な癖を持っている			〇	〇	〇
61	Who	ブレッシントン	True		〇	〇	〇
61	hasPredicate	持っている	True	hasProperty	〇	〇	〇
61	Obj	妙な癖	True	What	〇	〇	〇
62	対象文	ブレッシントンは人付き合いを避ける			〇	〇	〇
62	Who	ブレッシントン	True		〇	〇	〇
62	hasPredicate	避ける	True	hasPredicate	〇	〇	〇
62	Obj	人付き合い	True	What	〇	〇	〇
63	対象文	ブレッシントンは外出をほとんどしない			〇	〇	〇
63	Who	ブレッシントン	True		〇	〇	〇
63	hasPredicate	ほとんどしない	True	hasProperty	〇	〇	〇
63	Obj	外出	True	What	〇	〇	〇
64	対象文	ブレッシントンの生活は不規則である			〇	〇	無
64	Who	ブレッシントンの生活	True		〇	〇	無
64	hasPredicate	不規則である	True	hasProperty	〇	〇	無
65	対象文	ブレッシントンは以下を規則とする			〇	×	×
65	Who	ブレッシントン	True		〇	×	×
65	hasPredicate	する	False		〇	×	×
65	Obj	以下	False	判別不能	〇	×	×
65	Obj	規則	False	判別不能	〇	×	×
66	対象文	ブレッシントンは毎晩、同じ時間に診察室に行く			〇	×	△
66	Who	ブレッシントン	True		〇	×	△
66	hasPredicate	毎晩、同じ時間に診察室に行く	False		〇	×	△
66	Obj	同じ時間	False	判別不能	〇	×	△
66	Obj	診察室	True	To	〇	×	△
67	対象文	ブレッシントンは帳簿を調べる			〇	〇	〇
67	Who	ブレッシントン	True		〇	〇	〇
67	hasPredicate	調べる	True	hasPredicate	〇	〇	〇
67	Obj	帳簿	True	What	〇	〇	〇
68	対象文	ブレッシントンは一ギニィに五シリングと三ペンスを置いていく			〇	〇	×
68	Who	ブレッシントン	True		〇	〇	×
68	hasPredicate	置いていく	True	hasPredicate	〇	〇	×
68	Obj	一ギニィ	False	判別不能	〇	〇	×
68	Obj	五シリング	False	判別不能	〇	〇	×
68	Obj	三ペンス	False	判別不能	〇	〇	×
69	対象文	ブレッシントンは残りの金を自身の部屋に持っていく			×	×	無
69	Who		False		×	×	無
69	hasPredicate	ブレッシントンは残りの金を自身の部屋に持っていく	False		×	×	無
70	対象文	ブレッシントンは残りの金を自身の部屋の金庫にしまう			〇	〇	〇
70	Who	ブレッシントン	True		〇	〇	〇
70	hasPredicate	しまう	True	hasPredicate	〇	〇	〇
70	Obj	残りの金	True	What	〇	〇	〇
70	Obj	自身の部屋の金庫	True	Where	〇	〇	〇
71	対象文	ブレッシントンは何週間か前、パーシィ・トリヴェリアンの部屋を訪れた			〇	×	〇
71	Who	ブレッシントン	True		〇	×	〇
71	hasPredicate	何週間か前、パーシィ・トリヴェリアンの部屋を訪れた	False		〇	×	〇
71	Obj	パーシィ・トリヴェリアンの部屋	True	To	〇	×	〇
72	対象文	ブレッシントンは動揺した			〇	〇	無
72	Who	ブレッシントン	True		〇	〇	無
72	hasPredicate	動揺した	True	hasPredicate	〇	〇	無
73	対象文	ブレッシントンはパーシィ・トリヴェリアンに以下を言った			〇	〇	△
73	Who	ブレッシントン	True		〇	〇	△
73	hasPredicate	言った	True	hasPredicate	〇	〇	△
73	Obj	パーシィ・トリヴェリアン	True	To	〇	〇	△
73	Obj	以下	False	判別不能	〇	〇	△
74	対象文	押し込みの強盗がウエスト・エンド界隈で起こった			〇	〇	〇
74	Who	押し込みの強盗	True		〇	〇	〇
74	hasPredicate	起こった	True	hasProperty	〇	〇	〇
74	Obj	ウエスト・エンド界隈	True	Where	〇	〇	〇
75	対象文	ブレッシントンは非常に興奮した			〇	×	無
75	Who	ブレッシントン	True		〇	×	無
75	hasPredicate	非常に興奮した	False		〇	×	無
76	対象文	ブレッシントンは以下を言い張った			〇	〇	×
76	Who	ブレッシントン	True		〇	〇	×
76	hasPredicate	言い張った	True	hasPredicate	〇	〇	×
76	Obj	以下	False	判別不能	〇	〇	×
77	対象文	ブレッシントンとパーシィ・トリヴェリアンは閂を窓や扉に取り付けなければならない			〇	〇	△
77	Who	ブレッシントン	True		〇	〇	△
77	Who	パーシィ・トリヴェリアン	True		〇	〇	△
77	hasPredicate	取り付けなければならない	True	hasPredicate	〇	〇	△
77	Obj	閂	True	What	〇	〇	△
77	Obj	窓	False	判別不能	〇	〇	△
77	Obj	扉	False	判別不能	〇	〇	△
78	対象文	ブレッシントンは事件から一週間の間落ち着かなかった			〇	〇	×
78	Who	ブレッシントン	True		〇	〇	×
78	hasPredicate	落ち着かなかった	True	hasProperty	〇	〇	×
78	Obj	事件	False	判別不能	〇	〇	×
78	Obj	一週間の間	False	判別不能	〇	〇	×
79	対象文	ブレッシントンは窓の外を覗いた			〇	〇	〇
79	Who	ブレッシントン	True		〇	〇	〇
79	hasPredicate	覗いた	True	hasPredicate	〇	〇	〇
79	Obj	窓の外	True	What	〇	〇	〇
80	対象文	ブレッシントンは日課の散歩をやめた			〇	〇	〇
80	Who	ブレッシントン	True		〇	〇	〇
80	hasPredicate	やめた	True	hasPredicate	〇	〇	〇
80	Obj	日課の散歩	True	What	〇	〇	〇
81	対象文	パーシィ・トリヴェリアンは以下を感じた			〇	〇	×
81	Who	パーシィ・トリヴェリアン	True		〇	〇	×
81	hasPredicate	感じた	True	hasPredicate	〇	〇	×
81	Obj	以下	False	判別不能	〇	〇	×
82	対象文	ブレッシントンは何かを病的に恐れた			〇	×	〇
82	Who	ブレッシントン	True		〇	×	〇
82	hasPredicate	病的に恐れた	False		〇	×	〇
82	Obj	何か	True	What	〇	×	〇
83	対象文	ブレッシントンは気を悪くした			〇	×	×
83	Who	ブレッシントン	True		〇	×	×
83	hasPredicate	悪くした	False		〇	×	×
83	Obj	気	False	判別不能	〇	×	×
84	対象文	パーシィ・トリヴェリアンはブレッシントンに恐怖に感じている事を尋ねる			〇	×	×
84	Who	パーシィ・トリヴェリアン	True		〇	×	×
84	hasPredicate	尋ねる	False		〇	×	×
84	Obj	ブレッシントンに恐怖に感じている事	False	判別不能	〇	×	×
85	対象文	ブレッシントンの恐怖は静まった			〇	〇	無
85	Who	ブレッシントンの恐怖	True		〇	〇	無
85	hasPredicate	静まった	True	hasProperty	〇	〇	無
86	対象文	ブレッシントンは再び恐怖を覚えた			〇	×	〇
86	Who	ブレッシントン	True		〇	×	〇
86	hasPredicate	再び恐怖を覚えた	False		〇	×	〇
86	Obj	恐怖	True	What	〇	×	〇
87	対象文	パーシィ・トリヴェリアンは2日前に手紙を受け取った			〇	〇	〇
87	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
87	hasPredicate	受け取った	True	hasPredicate	〇	〇	〇
87	Obj	2日前	True	When	〇	〇	〇
87	Obj	手紙	True	What	〇	〇	〇
88	対象文	住所と日付は手紙に書かれていなかった			〇	〇	〇
88	Who	住所	True		〇	〇	〇
88	Who	日付	True		〇	〇	〇
88	hasPredicate	書かれていなかった	True	hasPredicate	〇	〇	〇
88	Obj	手紙	True	On	〇	〇	〇
89	対象文	手紙の内容は以下を含む			〇	〇	×
89	Who	手紙の内容	True		〇	〇	×
89	hasPredicate	含む	True	hasPredicate	〇	〇	×
89	Obj	以下	False	判別不能	〇	〇	×
90	対象文	ロシア貴族はイングランドに在留中である			〇	〇	〇
90	Who	ロシア貴族	True		〇	〇	〇
90	hasPredicate	在留中である	True	hasPredicate	〇	〇	〇
90	Obj	イングランド	True	Where	〇	〇	〇
91	対象文	ロシア貴族は強硬症の発作に悩んでいる			〇	〇	〇
91	Who	ロシア貴族	True		〇	〇	〇
91	hasPredicate	悩んでいる	True	hasPredicate	〇	〇	〇
91	Obj	強硬症の発作	True	What	〇	〇	〇
92	対象文	パーシィ・トリヴェリアンは強硬症の名医である			〇	×	無
92	Who	パーシィ・トリヴェリアン	True		〇	×	無
92	hasPredicate	強硬症の名医である	False		〇	×	無
93	対象文	ロシア貴族は次の日の午後六時十五分頃にパーシィ・トリヴェリアンの診察を受けたい			〇	〇	〇
93	Who	ロシア貴族	True		〇	〇	〇
93	hasPredicate	受けたい	True	hasPredicate	〇	〇	〇
93	Obj	次の日の午後六時十五分頃	True	When	〇	〇	〇
93	Obj	パーシィ・トリヴェリアンの診察	True	What	〇	〇	〇
94	対象文	パーシィ・トリヴェリアンは診察室でロシア貴族を待った			〇	〇	〇
94	Who	パーシィ・トリヴェリアン	True		〇	〇	〇
94	hasPredicate	待った	True	hasPredicate	〇	〇	〇
94	Obj	診察室	True	Where	〇	〇	〇
94	Obj	ロシア貴族	True	What	〇	〇	〇
95	対象文	手伝いの少年は指定の時刻に患者を診察室に招き入れた			〇	〇	〇
95	Who	手伝いの少年	True		〇	〇	〇
95	hasPredicate	招き入れた	True	hasPredicate	〇	〇	〇
95	Obj	指定の時刻	True	When	〇	〇	〇
95	Obj	患者	True	What	〇	〇	〇
95	Obj	診察室	True	To	〇	〇	〇
96	対象文	初老の男と若い男は診察室に入ってきた			×	×	無
96	Who		False		×	×	無
96	hasPredicate	初老の男と若い男は診察室に入ってきた	False		×	×	無
97	対象文	初老の男は痩せている			〇	〇	無
97	Who	初老の男	True		〇	〇	無
97	hasPredicate	痩せている	True	hasProperty	〇	〇	無
98	対象文	初老の男はおとなしい			〇	〇	無
98	Who	初老の男	True		〇	〇	無
98	hasPredicate	おとなしい	True	hasProperty	〇	〇	無
99	対象文	初老の男はロシア貴族のようではない			〇	〇	無
99	Who	初老の男	True		〇	〇	無
99	hasPredicate	ロシア貴族のようではない	True	hasProperty	〇	〇	無
100	対象文	若い男の背は高い			〇	〇	無
100	Who	若い男の背	True		〇	〇	無
100	hasPredicate	高い	True	hasProperty	〇	〇	無
101	対象文	若い男は屈強である			〇	〇	無
101	Who	若い男	True		〇	〇	無
101	hasPredicate	屈強である	True	hasProperty	〇	〇	無
102	対象文	若い男の顔は浅黒い			〇	〇	無
102	Who	若い男の顔	True		〇	〇	無
102	hasPredicate	浅黒い	True	hasProperty	〇	〇	無
103	対象文	若い男は恐ろしげである			〇	〇	無
103	Who	若い男	True		〇	〇	無
103	hasPredicate	恐ろしげである	True	hasProperty	〇	〇	無
104	対象文	若い男の胸と手はヘラクレスのようである			×	〇	無
104	Who	若い男の胸	True		×	〇	無
104	Who	手	False		×	〇	無
104	hasPredicate	ヘラクレスのようである	True	hasProperty	×	〇	無
105	対象文	若い男は初老の男を介護した			〇	〇	〇
105	Who	若い男	True		〇	〇	〇
105	hasPredicate	介護した	True	hasPredicate	〇	〇	〇
105	Obj	初老の男	True	What	〇	〇	〇
106	対象文	若い男は以下を言った			〇	〇	×
106	Who	若い男	True		〇	〇	×
106	hasPredicate	言った	True	hasPredicate	〇	〇	×
106	Obj	以下	False	判別不能	〇	〇	×
107	対象文	初老の男は若い男の父親である			〇	×	無
107	Who	初老の男	True		〇	×	無
107	hasPredicate	若い男の父親である	False		〇	×	無
108	対象文	パーシィ・トリヴェリアンは若い男に診察に立ち会うことを勧めた			〇	〇	×
108	Who	パーシィ・トリヴェリアン	True		〇	〇	×
